published_date,location,home_type,price,area,bedroom,wc,legal_status,furniture
30/09/2025,"Bắc Từ Liêm, Hà Nội",căn hộ chung cư,9.5,104.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
30/09/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,10.8,110.0,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ
30/09/2025,"Hà Đông, Hà Nội","nhà biệt thự, liền kề",36.0,200.0,6.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ
30/09/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,3.55,48.8,1.0,1.0,Hợp đồng mua bán,Đầy đủ
30/09/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,3.5,43.0,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ
30/09/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,4.0,40.0,1.0,1.0,Hợp đồng mua bán,Đầy đủ
30/09/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,4.2,55.0,2.0,1.0,Không có - Thiếu,Không có - Thiếu
30/09/2025,"Đống Đa, Hà Nội",condotel,3.56,40.0,1.0,1.0,Hợp đồng mua bán,Đầy đủ
30/09/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,3.65,51.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản
30/09/2025,"Đông Anh, Hà Nội",đất nền dự án,33.75,250.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
30/09/2025,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",12.2,75.0,3.0,3.0,Sổ đỏ/ Sổ hồng,Không có - Thiếu
29/09/2025,"Long Biên, Hà Nội",căn hộ chung cư,2.9,46.0,1.0,1.0,Không có - Thiếu,Không có - Thiếu
29/09/2025,"Tây Hồ, Hà Nội",nhà mặt phố,17.0,56.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
29/09/2025,"Đan Phượng, Hà Nội",căn hộ chung cư,5.86,93.0,3.0,3.0,Không có - Thiếu,Không có - Thiếu
